Chinese,Pinyin
服装,fúzhuāng
福,fú
父母,fù mǔ
父亲,fùqīn
付,fù
负责,fùzé
复印,fùyìn
复杂,fùzá
富,fù
改进,gǎijìn
改造,gǎi zào
概念,gàiniàn
赶,gǎn
赶到,gǎn dào
赶紧,gǎnjǐn
赶快,gǎnkuài
敢,gǎn
感冒,gǎnmào
感情,gǎnqíng
感受,gǎnshòu
干吗,gàn má
高速,gāo sù
高速公路,gāosùgōnglù
告别,gàobié
歌迷,gē mí
歌声,gē shēng
歌手,gē shǒu
个人,gèrén
个性,gèxìng
各,gè
各地,gè dì
各位,gè wèi
各种,gè zhǒng
各自,gèzì
根本,gēnběn
更加,gèng jiā
工厂,gōngchǎng
工程师,gōngchéngshī
工夫,gōng fu
工具,gōngjù
工业,gōngyè
工资,gōngzī
公布,gōngbù
公共,gōng gòng
公开,gōngkāi
公民,gōngmín
公务员,gōng wù yuán
功夫,gōngfu
功课,gōng kè
功能,gōngnéng
共同,gòngtóng
共有,gòng yǒu
姑娘,gūniang
古,gǔ
古代,gǔdài
故乡,gùxiāng
挂,guà
关系,guānxì
关注,guān zhù
观察,guānchá
观看,guān kàn
观念,guānniàn
观众,guānzhòng
管,guǎn
管理,guǎnlǐ
光,guāng
光明,guāngmíng
广播,guǎngbō
广大,guǎngdà
规定,guīdìng
规范,guīfàn
国内,guó nèi
国庆,guó qìng
果然,guǒrán
果汁,guǒzhī
过程,guòchéng
过去,guò qù
哈哈,hā hā
海关,hǎiguān
害怕,hàipà
行,háng
好好,hǎo hǎo
好奇,hàoqí
合,hé
合法,héfǎ
合格,hégé
合理,hélǐ
合作,hézuò
和平,hépíng
红茶,hóng chá
红酒,hóng jiǔ
后果,hòuguǒ
后面,hòumiàn
后年,hòu nián
互联网,hùliánwǎng
互相,hùxiāng
划船,huá chuán
华人,huá rén
化,huà 
话剧,huà jù
