Chinese,Pinyin,Wade-Giles,Romatzyh
汉语,hànyǔ,han⁴ yü³,hann yeu
汉字,hàn zì,han⁴ tzu⁴,hann tzyh
好,hǎo,hao³,hao
好吃,hǎochī,hao³ ch'ih¹,hao chy
好看,hǎo kàn,hao³ k'an⁴,hao kann
好听,hǎo tīng,hao³ t'ing¹,hao ting
好玩儿,hǎo wánr,hao³ wan² r,hao wan r
号,hào,hao⁴,haw
喝,hē,ho¹,he
和,hé,ho²,her
很,hěn,hen³,heen
后,hòu,hou⁴,how
后天,hòu tiān,hou⁴ t'ien¹,how tian
花,huā,hua¹,hua
话,huà,hua⁴,huah
坏,huài,huai⁴,huay
还,huán,huan²,hwan
回,huí,hui²,hwei
回答,huídá,hui² ta²,hwei dar
回到,huí dào,hui² tao⁴,hwei daw
回家,huí jiā,hui² chia¹,hwei jia
会,huì,hui⁴,huey
火车,huǒ chē,huo³ ch'e¹,huoo che
机场,jīchǎng,chi¹ ch'ang³,ji chaang
机票,jī piào,chi¹ p'iao⁴,ji piaw
鸡蛋,jīdàn,chi¹ tan⁴,ji dann
几,jǐ,chi³,jii
记,jì,chi⁴,jih
家,jiā,chia¹,jia
家里,jiā lǐ,chia¹ li³,jia lii
家人,jiā rén,chia¹ jen²,jia ren
间,jiān,chien¹,jian
见,jiàn,chien⁴,jiann
见面,jiànmiàn,chien⁴ mien⁴,jiann miann
教,jiāo,chiao¹,jiau
叫,jiào,chiao⁴,jiaw
教学楼,jiào xué lóu,chiao⁴ hsüeh² lou²,jiaw shyue lou
姐姐,jiě jie,chieh³ jie,jiee jie
介绍,jièshào,chieh⁴ shao⁴,jieh shaw
今年,jīn nián,chin¹ nien²,jin nian
今天,jīntiān,chin¹ t'ien¹,jin tian
进,jìn,chin⁴,jinn
进来,jìn lái,chin⁴ lai²,jinn lai
进去,jìn qù,chin⁴ ch'ü⁴,jinn chiuh
九,jiǔ,chiu³,jeou
就,jiù,chiu⁴,jiow
觉得,juéde,chüeh² de,jyue de
开,kāi,k'ai¹,kai
开车,kāi chē,k'ai¹ ch'e¹,kai che
开会,kāi huì,k'ai¹ hui⁴,kai huey
开玩笑,kāiwánxiào,k'ai¹ wan² hsiao⁴,kai wan shiaw
看病,kàn bìng,k'an⁴ ping⁴,kann binq
看到,kàn dào,k'an⁴ tao⁴,kann daw
看见,kànjiàn,k'an⁴ chien⁴,kann jiann
考,kǎo,k'ao³,kao
考试,kǎoshì,k'ao³ shih⁴,kao shyh
渴,kě,k'o³,kee
课,kè,k'o⁴,keh
课本,kè běn,k'o⁴ pen³,keh been
课文,kè wén,k'o⁴ wen²,keh wen
口,kǒu,k'ou³,koou
块,kuài,k'uai⁴,kuay
快,kuài,k'uai⁴,kuay
来,lái,lai²,lai
来到,lái dào,lai² tao⁴,lai daw
老,lǎo,lao³,lao
老人,lǎo rén,lao³ jen²,lao ren
