Chinese,Pinyin,Wade-Giles,Romatzyh
灾难,zāinàn,tsai¹ nan⁴,tzai nann
灾区,zāi qū,tsai¹ ch'ü¹,tzai chiu
再次,zài cì,tsai⁴ tz'u⁴,tzay tsyh
再也,zài yě,tsai⁴ yeh³,tzay yee
在场,zài chǎng,tsai⁴ ch'ang³,tzay chaang
在内,zài nèi,tsai⁴ nei⁴,tzay ney
暂时,zànshí,tsan⁴ shih²,tzann shyr
暂停,zàn tíng,tsan⁴ t'ing²,tzann tyng
糟,zāo,tsao¹,tzau
糟糕,zāogāo,tsao¹ kao¹,tzau gau
早期,zǎo qī,tsao³ ch'i¹,tzao chi
增,zēng,tseng¹,tzeng
增产,zēng chǎn,tseng¹ ch'an³,tzeng chaan
增大,zēng dà,tseng¹ ta⁴,tzeng dah
增多,zēng duō,tseng¹ to¹,tzeng duo
增强,zēng qiáng,tseng¹ ch'iang²,tzeng chyang
赠,zèng,tseng⁴,tzenq
赠送,zèngsòng,tseng⁴ sung⁴,tzenq sonq
摘,zhāi,chai¹,jai
展览,zhǎnlǎn,chan³ lan³,jaan laan
展示,zhǎnshì,chan³ shih⁴,jaan shyh
展现,zhǎnxiàn,chan³ hsien⁴,jaan shiann
占领,zhànlǐng,chan⁴ ling³,jann liing
占有,zhàn yǒu,chan⁴ yu³,jann yeou
涨,zhǎng,chang³,jaang
涨价,zhǎng jià,chang³ chia⁴,jaang jiah
掌握,zhǎngwò,chang³ wo⁴,jaang woh
招生,zhāo shēng,chao¹ sheng¹,jau sheng
招手,zhāo shǒu,chao¹ shou³,jau shoou
珍贵,zhēnguì,chen¹ kuei⁴,jen guey
珍惜,zhēnxī,chen¹ hsi¹,jen shi
珍珠,zhēnzhū,chen¹ chu¹,jen ju
真诚,zhēn chéng,chen¹ ch'eng²,jen cherng
真理,zhēnlǐ,chen¹ li³,jen lii
真相,zhēnxiàng,chen¹ hsiang⁴,jen shianq
诊断,zhěnduàn,chen³ tuan⁴,jeen duann
振动,zhèndòng,chen⁴ tung⁴,jenn donq
震惊,zhènjīng,chen⁴ ching¹,jenn jing
争议,zhēngyì,cheng¹ i⁴,jeng yih
正版,zhèng bǎn,cheng⁴ pan³,jenq baan
正规,zhèngguī,cheng⁴ kuei¹,jenq guei
正如,zhèng rú,cheng⁴ ju²,jenq ru
正义,zhèngyì,cheng⁴ i⁴,jenq yih
证实,zhèngshí,cheng⁴ shih²,jenq shyr
证书,zhèngshū,cheng⁴ shu¹,jenq shu
挣,zhèng,cheng⁴,jenq
挣钱,zhèng qián,cheng⁴ ch'ien²,jenq chyan
之内,zhī nèi,chih¹ nei⁴,jy ney
之外,zhī wài,chih¹ wai⁴,jy way
之下,zhī xià,chih¹ hsia⁴,jy shiah
之中,zhī zhōng,chih¹ chung¹,jy jong
支出,zhīchū,chih¹ ch'u¹,jy chu
支配,zhīpèi,chih¹ p'ei⁴,jy pey
执行,zhíxíng,chih² hsing²,jyr shyng
直线,zhí xiàn,chih² hsien⁴,jyr shiann
值班,zhíbān,chih² pan¹,jyr ban
职能,zhínéng,chih² neng²,jyr neng
职位,zhíwèi,chih² wei⁴,jyr wey
职务,zhíwù,chih² wu⁴,jyr wuh
只见,zhǐ jiàn,chih³ chien⁴,jyy jiann
指标,zhǐbiāo,chih³ piao¹,jyy biau
指甲,zhǐjia,chih³ jia,jyy jia
指示,zhǐshì,chih³ shih⁴,jyy shyh
指责,zhǐzé,chih³ tse²,jyy tzer
至,zhì,chih⁴,jyh
制成,zhì chéng,chih⁴ ch'eng²,jyh cherng
制约,zhìyuē,chih⁴ yüeh¹,jyh iue
治安,zhì’ān,chih⁴ an¹,jyh an
治理,zhìlǐ,chih⁴ li³,jyh lii
中断,zhōngduàn,chung¹ tuan⁴,jong duann
中秋节,zhōng qiū jié,chung¹ ch'iu¹ chieh²,jong chiou jye
中央,zhōngyāng,chung¹ yang¹,jong iang
中药,zhōng yào,chung¹ yao⁴,jong yaw
终点,zhōngdiǎn,chung¹ tien³,jong dean
终身,zhōngshēn,chung¹ shen¹,jong shen
终止,zhōngzhǐ,chung¹ chih³,jong jyy
中毒,zhòng dú,chung⁴ tu²,jonq dwu
众多,zhòng duō,chung⁴ to¹,jonq duo
周期,zhōuqī,chou¹ ch'i¹,jou chi
竹子,zhúzi,chu² zi,jwu zi
主办,zhǔbàn,chu³ pan⁴,juu bann
主导,zhǔdǎo,chu³ tao³,juu dao
主观,zhǔguān,chu³ kuan¹,juu guan
主管,zhǔguǎn,chu³ kuan³,juu goan
主体,zhǔ tǐ,chu³ t'i³,juu tii
助理,zhùlǐ,chu⁴ li³,juh lii
助手,zhùshǒu,chu⁴ shou³,juh shoou
注册,zhùcè,chu⁴ ts'e⁴,juh tseh
注射,zhùshè,chu⁴ she⁴,juh sheh
注视,zhùshì,chu⁴ shih⁴,juh shyh
注重,zhùzhòng,chu⁴ chung⁴,juh jonq
祝贺,zhùhè,chu⁴ ho⁴,juh heh
专辑,zhuān jí,chuan¹ chi²,juan jyi
专利,zhuānlì,chuan¹ li⁴,juan lih
转化,zhuǎn huà,chuan³ hua⁴,joan huah
转换,zhuǎn huàn,chuan³ huan⁴,joan huann
转让,zhuǎnràng,chuan³ jang⁴,joan ranq
转向,zhuǎn xiàng,chuan³ hsiang⁴,joan shianq
装饰,zhuāngshì,chuang¹ shih⁴,juang shyh
撞,zhuàng,chuang⁴,juanq
资本,zīběn,tzu¹ pen³,tzy been
资产,zīchǎn,tzu¹ ch'an³,tzy chaan
资助,zīzhù,tzu¹ chu⁴,tzy juh
子弹,zǐdàn,tzu³ tan⁴,tzyy dann
仔细,zǐxì,tzu³ hsi⁴,tzyy shih
紫,zǐ,tzu³,tzyy
自豪,zìháo,tzu⁴ hao²,tzyh haur
自杀,zì shā,tzu⁴ sha¹,tzyh sha
自愿,zìyuàn,tzu⁴ yüan⁴,tzyh yuann
总裁,zǒngcái,tsung³ ts'ai²,tzoong tsair
总数,zǒng shù,tsung³ shu⁴,tzoong shuh
总算,zǒngsuàn,tsung³ suan⁴,tzoong suann
总体,zǒng tǐ,tsung³ t'i³,tzoong tii
阻碍,zǔ’ài,tsu³ ai⁴,tzuu ay
组织,zǔzhī,tsu³ chih¹,tzuu jy
醉,zuì,tsui⁴,tzuey
尊敬,zūnjìng,tsun¹ ching⁴,tzuen jinq
尊重,zūnzhòng,tsun¹ chung⁴,tzuen jonq
挨着,āi zhe,ai¹ zhe,ai zhe
挨,ái,ai²,air
挨打,ái dǎ,ai² ta³,air daa
安检,ān jiǎn,an¹ chien³,an jean
罢工,bàgōng,pa⁴ kung¹,bah gong
罢了,bà le,pa⁴ le,bah le
白领,bái lǐng,pai² ling³,bair liing
百分点,bǎi fēn diǎn,pai³ fen¹ tien³,bae fen dean
办公,bàn gōng,pan⁴ kung¹,bann gong
办事处,bàn shì chù,pan⁴ shih⁴ ch'u⁴,bann shyh chuh
办学,bàn xué,pan⁴ hsüeh²,bann shyue
半决赛,bàn jué sài,pan⁴ chüeh² sai⁴,bann jyue say
傍晚,bàngwǎn,pang⁴ wan³,banq woan
保健,bǎo jiàn,pao³ chien⁴,bao jiann
报刊,bào kān,pao⁴ k'an¹,baw kan
报考,bào kǎo,pao⁴ k'ao³,baw kao
抱歉,bàoqiàn,pao⁴ ch'ien⁴,baw chiann
暴风雨,bào fēng yǔ,pao⁴ feng¹ yü³,baw feng yeu
暴力,bàolì,pao⁴ li⁴,baw lih
暴露,bàolù,pao⁴ lu⁴,baw luh
暴雨,bào yǔ,pao⁴ yü³,baw yeu
爆,bào,pao⁴,baw
爆发,bàofā,pao⁴ fa¹,baw fa
爆炸,bàozhà,pao⁴ cha⁴,baw jah
悲惨,bēicǎn,pei¹ ts'an³,bei tsaan
背心,bèi xīn,pei⁴ hsin¹,bey shin
被告,bèigào,pei⁴ kao⁴,bey gaw
奔跑,bēn pǎo,pen¹ p'ao³,ben pao
本,běn,pen³,been
本地,běn dì,pen³ ti⁴,been dih
本期,běn qī,pen³ ch'i¹,been chi
本身,běnshēn,pen³ shen¹,been shen
本土,běn tǔ,pen³ t'u³,been tuu
本质,běnzhì,pen³ chih⁴,been jyh
逼,bī,pi¹,bi
笔试,bǐ shì,pi³ shih⁴,bii shyh
必将,bì jiāng,pi⁴ chiang¹,bih jiang
必修,bì xiū,pi⁴ hsiu¹,bih shiou
闭,bì,pi⁴,bih
边缘,biānyuán,pien¹ yüan²,bian yuan
编制,biān zhì,pien¹ chih⁴,bian jyh
变更,biàn gēng,pien⁴ keng¹,biann geng
变换,biàn huàn,pien⁴ huan⁴,biann huann
变形,biàn xíng,pien⁴ hsing²,biann shyng
便,biàn,pien⁴,biann
便是,biàn shì,pien⁴ shih⁴,biann shyh
遍地,biàn dì,pien⁴ ti⁴,biann dih
病房,bìng fáng,ping⁴ fang²,binq farng
病情,bìng qíng,ping⁴ ch'ing²,binq chyng
拨打,bō dǎ,po¹ ta³,bo daa
波动,bō dòng,po¹ tung⁴,bo donq
波浪,bōlàng,po¹ lang⁴,bo lanq
播,bō,po¹,bo
补考,bǔ kǎo,pu³ k'ao³,buu kao
补课,bǔ kè,pu³ k'o⁴,buu keh
补习,bǔ xí,pu³ hsi²,buu shyi
补助,bǔ zhù,pu³ chu⁴,buu juh
捕,bǔ,pu³,buu
不成,bù chéng,pu⁴ ch'eng²,buh cherng
不禁,bùjīn,pu⁴ chin¹,buh jin
不仅仅,bù jǐn jǐn,pu⁴ chin³ chin³,buh jiin jiin
不通,bù tōng,pu⁴ t'ung¹,buh tong
不怎么,bù zěn me,pu⁴ tsen³ me,buh tzeen me
不怎么样,bù zěn me yàng,pu⁴ tsen³ me yang⁴,buh tzeen me yanq
不值,bù zhí,pu⁴ chih²,buh jyr
布满,bù mǎn,pu⁴ man³,buh maan
部队,bù duì,pu⁴ tui⁴,buh duey
采纳,cǎinà,ts'ai³ na⁴,tsae nah
踩,cǎi,ts'ai³,tsae
参赛,cān sài,ts'an¹ sai⁴,tsan say
参展,cān zhǎn,ts'an¹ chan³,tsan jaan
餐,cān,ts'an¹,tsan
残疾,cánjí,ts'an² chi²,tsarn jyi
残疾人,cán jí rén,ts'an² chi² jen²,tsarn jyi ren
残酷,cánkù,ts'an² k'u⁴,tsarn kuh
惨,cǎn,ts'an³,tsaan
仓库,cāngkù,ts'ang¹ k'u⁴,tsang kuh
操纵,cāozòng,ts'ao¹ tsung⁴,tsau tzonq
厕所,cèsuǒ,ts'e⁴ so³,tseh suoo
侧,cè,ts'e⁴,tseh
测定,cè dìng,ts'e⁴ ting⁴,tseh dinq
策划,cèhuà,ts'e⁴ hua⁴,tseh huah
层面,céng miàn,ts'eng² mien⁴,tserng miann
差异,chā yì,ch'a¹ i⁴,cha yih
查出,chá chū,ch'a² ch'u¹,char chu
查看,chá kàn,ch'a² k'an⁴,char kann
拆迁,chāi qiān,ch'ai¹ ch'ien¹,chai chian
产量,chǎn liàng,ch'an³ liang⁴,chaan lianq
昌盛,chāngshèng,ch'ang¹ sheng⁴,chang shenq
长短,cháng duǎn,ch'ang² tuan³,charng doan
长假,cháng jià,ch'ang² chia⁴,charng jiah
长久,cháng jiǔ,ch'ang² chiu³,charng jeou
长跑,cháng pǎo,ch'ang² p'ao³,charng pao
长远,cháng yuǎn,ch'ang² yüan³,charng yeuan
常规,cháng guī,ch'ang² kuei¹,charng guei
常年,cháng nián,ch'ang² nien²,charng nian
厂商,chǎng shāng,ch'ang³ shang¹,chaang shang
场地,chǎng dì,ch'ang³ ti⁴,chaang dih
场馆,chǎng guǎn,ch'ang³ kuan³,chaang goan
场景,chǎng jǐng,ch'ang³ ching³,chaang jiing
畅通,chàngtōng,ch'ang⁴ t'ung¹,chanq tong
超,chāo,ch'ao¹,chau
超出,chāo chū,ch'ao¹ ch'u¹,chau chu
炒,chǎo,ch'ao³,chao
炒股,chǎo gǔ,ch'ao³ ku³,chao guu
炒作,chǎo zuò,ch'ao³ tso⁴,chao tzuoh
车号,chē hào,ch'e¹ hao⁴,che haw
车牌,chē pái,ch'e¹ p'ai²,che pair
车展,chē zhǎn,ch'e¹ chan³,che jaan
撤离,chè lí,ch'e⁴ li²,cheh li
撤销,chèxiāo,ch'e⁴ hsiao¹,cheh shiau
撑,chēng,ch'eng¹,cheng
成,chéng,ch'eng²,cherng
成分,chéngfèn,ch'eng² fen⁴,cherng fenn
成品,chéng pǐn,ch'eng² p'in³,cherng piin
承诺,chéngnuò,ch'eng² no⁴,cherng nuoh
城区,chéng qū,ch'eng² ch'ü¹,cherng chiu
城乡,chéng xiāng,ch'eng² hsiang¹,cherng shiang
城镇,chéng zhèn,ch'eng² chen⁴,cherng jenn
持有,chí yǒu,ch'ih² yu³,chyr yeou
冲击,chōngjī,ch'ung¹ chi¹,chong ji
重建,chóng jiàn,ch'ung² chien⁴,chorng jiann
重组,chóng zǔ,ch'ung² tsu³,chorng tzuu
崇拜,chóngbài,ch'ung² pai⁴,chorng bay
宠物,chǒngwù,ch'ung³ wu⁴,choong wuh
冲,chōng,ch'ung¹,chong
出场,chū chǎng,ch'u¹ ch'ang³,chu chaang
出动,chū dòng,ch'u¹ tung⁴,chu donq
出访,chū fǎng,ch'u¹ fang³,chu faang
出路,chūlù,ch'u¹ lu⁴,chu luh
出面,chū miàn,ch'u¹ mien⁴,chu miann
出名,chū míng,ch'u¹ ming²,chu ming
出入,chū rù,ch'u¹ ju⁴,chu ruh
出事,chū shì,ch'u¹ shih⁴,chu shyh
出台,chū tái,ch'u¹ t'ai²,chu tair
出行,chū xíng,ch'u¹ hsing²,chu shyng
初等,chū děng,ch'u¹ teng³,chu deeng
除,chú,ch'u²,chwu
厨师,chú shī,ch'u² shih¹,chwu shy
储存,chǔcún,ch'u³ ts'un²,chuu tswen
处处,chù chù,ch'u⁴ ch'u⁴,chuh chuh
处长,chù zhǎng,ch'u⁴ chang³,chuh jaang
传出,chuán chū,ch'uan² ch'u¹,chwan chu
传媒,chuán méi,ch'uan² mei²,chwan mei
传输,chuán shū,ch'uan² shu¹,chwan shu
传言,chuán yán,ch'uan² yan²,chwan yan
船员,chuán yuán,ch'uan² yüan²,chwan yuan
船长,chuán zhǎng,ch'uan² chang³,chwan jaang
船只,chuán zhī,ch'uan² chih¹,chwan jy
串,chuàn,ch'uan⁴,chuann
窗口,chuāng kǒu,ch'uang¹ k'ou³,chuang koou
创办,chuàng bàn,ch'uang⁴ pan⁴,chuanq bann
创建,chuàng jiàn,ch'uang⁴ chien⁴,chuanq jiann
创意,chuàng yì,ch'uang⁴ i⁴,chuanq yih
此处,cǐ chù,tz'u³ ch'u⁴,tsyy chuh
此次,cǐ cì,tz'u³ tz'u⁴,tsyy tsyh
此前,cǐ qián,tz'u³ ch'ien²,tsyy chyan
此事,cǐ shì,tz'u³ shih⁴,tsyy shyh
此致,cǐ zhì,tz'u³ chih⁴,tsyy jyh
次数,cì shù,tz'u⁴ shu⁴,tsyh shuh
从不,cóng bù,ts'ung² pu⁴,tsorng buh
从没,cóng méi,ts'ung² mei²,tsorng mei
醋,cù,ts'u⁴,tsuh
村庄,cūn zhuāng,ts'un¹ chuang¹,tsuen juang
错过,cuò guò,ts'o⁴ kuo⁴,tsuoh guoh
搭,dā,ta¹,da
搭档,dādàng,ta¹ tang⁴,da danq
搭配,dāpèi,ta¹ p'ei⁴,da pey
打动,dǎ dòng,ta³ tung⁴,daa donq
打断,dǎ duàn,ta³ tuan⁴,daa duann
打发,dǎ fa,ta³ fa,daa fa
打官司,dǎguānsi,ta³ kuan¹ si,daa guan si
打牌,dǎ pái,ta³ p'ai²,daa pair
打印机,dǎ yìn jī,ta³ yin⁴ chi¹,daa yinn ji
打造,dǎ zào,ta³ tsao⁴,daa tzaw
大道,dà dào,ta⁴ tao⁴,dah daw
大街,dà jiē,ta⁴ chieh¹,dah jie
大力,dà lì,ta⁴ li⁴,dah lih
大米,dà mǐ,ta⁴ mi³,dah mii
大批,dà pī,ta⁴ p'i¹,dah pi
大赛,dà sài,ta⁴ sai⁴,dah say
大师,dà shī,ta⁴ shih¹,dah shy
大使,dà shǐ,ta⁴ shih³,dah shyy
待会儿,dāi huìr,tai¹ hui⁴ r,dai huey r
担忧,dān yōu,tan¹ yu¹,dan iou
单打,dān dǎ,tan¹ ta³,dan daa
诞生,dànshēng,tan⁴ sheng¹,dann sheng
党,dǎng,tang³,daang
当,dāng,tang¹,dang
当天,dāng tiān,tang¹ t'ien¹,dang tian
当作,dàng zuò,tang⁴ tso⁴,danq tzuoh
档案,dàng’àn,tang⁴ an⁴,danq ann
岛,dǎo,tao³,dao
到期,dào qī,tao⁴ ch'i¹,daw chi
盗版,dào bǎn,tao⁴ pan³,daw baan
道教,dào jiào,tao⁴ chiao⁴,daw jiaw
道歉,dàoqiàn,tao⁴ ch'ien⁴,daw chiann
低头,dī tóu,ti¹ t'ou²,di tour
低温,dī wēn,ti¹ wen¹,di uen
滴,dī,ti¹,di
抵达,dǐdá,ti³ ta²,dii dar
抵抗,dǐkàng,ti³ k'ang⁴,dii kanq
地板,dì bǎn,ti⁴ pan³,dih baan
地名,dì míng,ti⁴ ming²,dih ming
地下室,dì xià shì,ti⁴ hsia⁴ shih⁴,dih shiah shyh
电车,diàn chē,tien⁴ ch'e¹,diann che
电动,diàn dòng,tien⁴ tung⁴,diann donq
电力,diàn lì,tien⁴ li⁴,diann lih
电器,diàn qì,tien⁴ ch'i⁴,diann chih
吊,diào,tiao⁴,diaw
调研,diào yán,tiao⁴ yan²,diaw yan
跌,diē,tieh¹,die
定价,dìng jià,ting⁴ chia⁴,dinq jiah
定时,dìng shí,ting⁴ shih²,dinq shyr
定位,dìng wèi,ting⁴ wei⁴,dinq wey
动画,dòng huà,tung⁴ hua⁴,donq huah
斗争,dòuzhēng,tou⁴ cheng¹,dow jeng
都市,dū shì,tu¹ shih⁴,du shyh
毒品,dúpǐn,tu² p'in³,dwu piin
赌,dǔ,tu³,duu
赌博,dǔbó,tu³ po²,duu bor
渡,dù,tu⁴,duh
端,duān,tuan¹,duan
短片,duǎn piàn,tuan³ p'ien⁴,doan piann
对抗,duìkàng,tui⁴ k'ang⁴,duey kanq
对外,duì wài,tui⁴ wai⁴,duey way
蹲,dūn,tun¹,duen
多半,duō bàn,to¹ pan⁴,duo bann
多方面,duō fāng miàn,to¹ fang¹ mien⁴,duo fang miann
多媒体,duō méi tǐ,to¹ mei² t'i³,duo mei tii
夺,duó,to²,dwo
夺取,duó qǔ,to² ch'ü³,dwo cheu
恩人,ēn rén,en¹ jen²,en ren
儿科,ér kē,erh² k'o¹,erl ke
发病,fā bìng,fa¹ ping⁴,fa binq
发电,fā diàn,fa¹ tien⁴,fa diann
发放,fā fàng,fa¹ fang⁴,fa fanq
发怒,fā nù,fa¹ nu⁴,fa nuh
发起,fā qǐ,fa¹ ch'i³,fa chii
发言人,fā yán rén,fa¹ yan² jen²,fa yan ren
发炎,fāyán,fa¹ yan²,fa yan
法庭,fǎ tíng,fa³ t'ing²,faa tyng
法语,fǎ yǔ,fa³ yü³,faa yeu
番,fān,fan¹,fan
番茄,fān qié,fan¹ ch'ieh²,fan chye
凡是,fánshì,fan² shih⁴,farn shyh
繁殖,fánzhí,fan² chih²,farn jyr
反抗,fǎnkàng,fan³ k'ang⁴,faan kanq
反问,fǎnwèn,fan³ wen⁴,faan wenn
反响,fǎn xiǎng,fan³ hsiang³,faan sheang
犯,fàn,fan⁴,fann
犯规,fàn guī,fan⁴ kuei¹,fann guei
犯罪,fàn zuì,fan⁴ tsui⁴,fann tzuey
防范,fáng fàn,fang² fan⁴,farng fann
防守,fángshǒu,fang² shou³,farng shoou
房价,fáng jià,fang² chia⁴,farng jiah
仿佛,fǎngfú,fang³ fu²,faang fwu
飞船,fēi chuán,fei¹ ch'uan²,fei chwan
飞行员,fēi xíng yuán,fei¹ hsing² yüan²,fei shyng yuan
肺,fèi,fei⁴,fey
分工,fēn gōng,fen¹ kung¹,fen gong
分裂,fēnliè,fen¹ lieh⁴,fen lieh
愤怒,fènnù,fen⁴ nu⁴,fenn nuh
风暴,fēngbào,feng¹ pao⁴,feng baw
峰会,fēng huì,feng¹ hui⁴,feng huey
奉献,fèngxiàn,feng⁴ hsien⁴,fenq shiann
佛,fó,fo²,for
佛教,fó jiào,fo² chiao⁴,for jiaw
服,fú,fu²,fwu
浮,fú,fu²,fwu
父子,fù zǐ,fu⁴ tzu³,fuh tzyy
负,fù,fu⁴,fuh
复苏,fù sū,fu⁴ su¹,fuh su
副,fù,fu⁴,fuh
副,fù,fu⁴,fuh
富人,fù rén,fu⁴ jen²,fuh ren
富有,fù yǒu,fu⁴ yu³,fuh yeou
改装,gǎi zhuāng,kai³ chuang¹,gae juang
干涉,gānshè,kan¹ she⁴,gan sheh
肝,gān,kan¹,gan
杆,gān,kan¹,gan
赶忙,gǎn máng,kan³ mang²,gaan mang
赶上,gǎn shàng,kan³ shang⁴,gaan shanq
敢于,gǎn yú,kan³ yü²,gaan yu
感人,gǎn rén,kan³ jen²,gaan ren
刚好,gāng hǎo,kang¹ hao³,gang hao
岗位,gǎngwèi,kang³ wei⁴,gaang wey
港口,gǎngkǒu,kang³ k'ou³,gaang koou
高层,gāo céng,kao¹ ts'eng²,gau tserng
高档,gāodàng,kao¹ tang⁴,gau danq
高等,gāo děng,kao¹ teng³,gau deeng
高峰,gāofēng,kao¹ feng¹,gau feng
高考,gāo kǎo,kao¹ k'ao³,gau kao
高科技,gāo kē jì,kao¹ k'o¹ chi⁴,gau ke jih
高手,gāo shǒu,kao¹ shou³,gau shoou
稿子,gǎo zi,kao³ zi,gao zi
歌唱,gē chàng,ko¹ ch'ang⁴,ge chanq
歌词,gē cí,ko¹ tz'u²,ge tsyr
歌星,gē xīng,ko¹ hsing¹,ge shing
革新,gé xīn,ko² hsin¹,ger shin
更是,gèng shì,keng⁴ shih⁴,genq shyh
工商,gōng shāng,kung¹ shang¹,gong shang
公,gōng,kung¹,gong
公安,gōng ān,kung¹ an¹,gong an
公鸡,gōng jī,kung¹ chi¹,gong ji
公众,gōng zhòng,kung¹ chung⁴,gong jonq
公主,gōngzhǔ,kung¹ chu³,gong juu
攻击,gōngjī,kung¹ chi¹,gong ji
供给,gōngjǐ,kung¹ chi³,gong jii
宫,gōng,kung¹,gong
巩固,gǒnggù,kung³ ku⁴,goong guh
贡献,gòngxiàn,kung⁴ hsien⁴,gonq shiann
构建,gòu jiàn,kou⁴ chien⁴,gow jiann
孤独,gūdú,ku¹ tu²,gu dwu
孤儿,gū ér,ku¹ erh²,gu erl
姑姑,gūgu,ku¹ gu,gu gu
古典,gǔdiǎn,ku³ tien³,guu dean
股,gǔ,ku³,guu
股东,gǔdōng,ku³ tung¹,guu dong
股票,gǔpiào,ku³ p'iao⁴,guu piaw
故障,gùzhàng,ku⁴ chang⁴,guh janq
顾,gù,ku⁴,guh
刮,guā,kua¹,gua
拐,guǎi,kuai³,goai
关爱,guān ài,kuan¹ ai⁴,guan ay
关联,guān lián,kuan¹ lien²,guan lian
观光,guānguāng,kuan¹ kuang¹,guan guang
官司,guān si,kuan¹ si,guan si
管道,guǎn dào,kuan³ tao⁴,goan daw
光辉,guānghuī,kuang¹ hui¹,guang huei
广阔,guǎngkuò,kuang³ k'uo⁴,goang kuoh
轨道,guǐdào,kuei³ tao⁴,goei daw
跪,guì,kuei⁴,guey
国产,guó chǎn,kuo² ch'an³,gwo chaan
国歌,guó gē,kuo² ko¹,gwo ge
国会,guó huì,kuo² hui⁴,gwo huey
国旗,guó qí,kuo² ch'i²,gwo chyi
国王,guówáng,kuo² wang²,gwo wang
果酱,guǒ jiàng,kuo³ chiang⁴,guoo jianq
果树,guǒ shù,kuo³ shu⁴,guoo shuh
过渡,guòdù,kuo⁴ tu⁴,guoh duh
过后,guò hòu,kuo⁴ hou⁴,guoh how
过时,guò shí,kuo⁴ shih²,guoh shyr
海报,hǎi bào,hai³ pao⁴,hae baw
海底,hǎi dǐ,hai³ ti³,hae dii
海军,hǎi jūn,hai³ chün¹,hae jiun
海浪,hǎi làng,hai³ lang⁴,hae lanq
海外,hǎi wài,hai³ wai⁴,hae way
海湾,hǎi wān,hai³ wan¹,hae uan
海洋,hǎiyáng,hai³ yang²,hae yang
好容易,hǎo  róng yì,hao³ jung² i⁴,hao rong yih
好似,hǎo sì,hao³ ssu⁴,hao syh
好转,hǎo zhuǎn,hao³ chuan³,hao joan
合约,hé yuē,ho² yüeh¹,her iue
和谐,héxié,ho² hsieh²,her shye
核心,héxīn,ho² hsin¹,her shin
黑夜,hēi yè,hei¹ yeh⁴,hei yeh
很难说,hěn nán shuō,hen³ nánshuō,heen nánshuō
狠,hěn,hen³,heen
横,héng,heng²,herng
衡量,héng liáng,heng² liang²,herng liang
宏大,hóng dà,hung² ta⁴,horng dah
洪水,hóngshuǐ,hung² shui³,horng shoei
壶,hú,hu²,hwu
互动,hù dòng,hu⁴ tung⁴,huh donq
户外,hù wài,hu⁴ wai⁴,huh way
护,hù,hu⁴,huh
花费,huā fèi,hua¹ fei⁴,hua fey
花瓶,huā píng,hua¹ p'ing²,hua pyng
花生,huāshēng,hua¹ sheng¹,hua sheng
化解,huà jiě,hua⁴ chieh³,huah jiee
幻想,huànxiǎng,huan⁴ hsiang³,huann sheang
患者,huànzhě,huan⁴ che³,huann jee
皇帝,huángdì,huang² ti⁴,hwang dih
回应,huí yìng,hui² ying⁴,hwei yinq
毁,huǐ,hui³,hoei
会见,huì jiàn,hui⁴ chien⁴,huey jiann
会长,huì zhǎng,hui⁴ chang³,huey jaang
绘画,huì huà,hui⁴ hua⁴,huey huah
昏,hūn,hun¹,huen
混合,hùnhé,hun⁴ ho²,huenn her
混乱,hùnluàn,hun⁴ luan⁴,huenn luann
活跃,huóyuè,huo² yüeh⁴,hwo yueh
火箭,huǒjiàn,huo³ chien⁴,huoo jiann
机动车,jī dòng chē,chi¹ tung⁴ ch'e¹,ji donq che
机关,jī guān,chi¹ kuan¹,ji guan
机械,jīxiè,chi¹ hsieh⁴,ji shieh
基督教,jī dū jiào,chi¹ tu¹ chiao⁴,ji du jiaw
激情,jīqíng,chi¹ ch'ing²,ji chyng
吉利,jí lì,chi² li⁴,jyi lih
吉祥,jíxiáng,chi² hsiang²,jyi shyang
极端,jíduān,chi² tuan¹,jyi duan
急救,jí jiù,chi² chiu⁴,jyi jiow
疾病,jíbìng,chi² ping⁴,jyi binq
集,jí,chi²,jyi
给予,jǐyǔ,chi³ yü³,jii yeu
加盟,jiā méng,chia¹ meng²,jia meng
家电,jiā diàn,chia¹ tien⁴,jia diann
家园,jiā yuán,chia¹ yüan²,jia yuan
嘉宾,jiābīn,chia¹ pin¹,jia bin
假日,jià rì,chia⁴ jih⁴,jiah ryh
尖,jiān,chien¹,jian
监测,jiān cè,chien¹ ts'e⁴,jian tseh
监督,jiāndū,chien¹ tu¹,jian du
捡,jiǎn,chien³,jean
简介,jiǎn jiè,chien³ chieh⁴,jean jieh
剑,jiàn,chien⁴,jiann
鉴定,jiàndìng,chien⁴ ting⁴,jiann dinq
箭,jiàn,chien⁴,jiann
将军,jiāngjūn,chiang¹ chün¹,jiang jiun
讲课,jiǎng kè,chiang³ k'o⁴,jeang keh
酱,jiàng,chiang⁴,jianq
酱油,jiàngyóu,chiang⁴ yu²,jianq you
骄傲,jiāo’ào,chiao¹ ao⁴,jiau aw
焦点,jiāodiǎn,chiao¹ tien³,jiau dean
脚印,jiǎo yìn,chiao³ yin⁴,jeau yinn
觉,jiào,chiao⁴,jiaw
教堂,jiào táng,chiao⁴ t'ang²,jiaw tarng
教育部,jiào yù bù,chiao⁴ yü⁴ pu⁴,jiaw yuh buh
接收,jiē shōu,chieh¹ shou¹,jie shou
揭,jiē,chieh¹,jie
街头,jiē tóu,chieh¹ t'ou²,jie tour
